MOLECULE_DESC,MAT FEB'24,MAT FEB'26,Cipla Sales,Disease Score,Patent Score,Innovation Score,Guideline Score,Regulatory Score,External Score,Market Score,CAGR,Growth Score,Num Competitors,Competition Score,Future Score,Cipla Share,Right to Win Score,Confidence Score,Strategic Fit Score,Risk Score,Business Impact Score,Opportunity Score,Rank
ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BESILATE,2.5999999999999996,3.2,0.0,9.5,4.3,2.5,5.1,4.7,5.2,0.017751151051200977,0.1094003924504583,2.1684728427435584,2,9.94047619047619,5.2,0.0,0.0,87.5,0.0,24.3,0.0,29.7,203
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + METOPROLOL TARTRATE + RAMIPRIL,0.0,0.0,0.0,7.3,1.2,3.1,8.8,6.7,5.4,0.0,0.0,1.954635005990765,2,9.94047619047619,5.4,0.0,0.0,50.0,0.0,23.3,0.0,29.6,204
CILNIDIPINE + METOPROLOL FUMARATE + TELMISARTAN,0.0,0.7,0.0,7.3,1.4,10.0,3.6,4.7,5.4,0.003883064292450213,0.0,1.954635005990765,2,9.94047619047619,5.4,0.0,0.0,50.0,0.0,23.3,0.0,29.6,205
ACETYLSALICYLIC ACID CALCIUM SALT + CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT,0.0,0.0,0.0,2.0,1.9,7.5,5.9,9.9,5.4,0.0,0.0,1.954635005990765,3,9.880952380952381,5.4,0.0,0.0,50.0,0.0,23.6,0.0,29.5,206
ATENOLOL + LERCANIDIPINE HYDROCHLORIDE,0.0,0.0,0.0,6.5,0.4,5.8,5.2,8.7,5.3,0.0,0.0,1.954635005990765,1,10.0,5.3,0.0,0.0,50.0,0.0,23.5,0.0,29.5,207
CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT + SALICYLIC ACID,0.0,0.0,0.0,6.2,6.2,2.3,4.8,7.2,5.3,0.0,0.0,1.954635005990765,1,10.0,5.3,0.0,0.0,50.0,0.0,23.5,0.0,29.5,208
ATORVASTATIN CALCIUM SALT + CHOLINE FENOFIBRATE,0.0,0.0,0.0,4.4,3.5,4.7,9.7,4.1,5.3,0.0,0.0,1.954635005990765,1,10.0,5.3,0.0,0.0,50.0,0.0,23.5,0.0,29.5,209
HYDROCHLOROTHIAZIDE + VALSARTAN,6.3999999999999995,6.3,0.0,3.5,5.1,3.5,8.1,6.9,5.4,0.03494757863205192,-0.007843258350778481,1.939304298657304,4,9.821428571428571,5.4,0.0,0.0,92.7,0.0,23.9,0.1,29.5,210
AMLODIPINE + METOPROLOL TARTRATE,11.1,11.6,0.0,7.4,1.6,2.4,6.0,9.5,5.4,0.06434792256060354,0.02227444702733572,1.9981734198894823,6,9.702380952380953,5.4,0.0,0.0,89.5,0.0,24.5,0.1,29.5,211
ATORVASTATIN CALCIUM SALT + BEMPEDOIC ACID,0.5,0.0,0.0,9.4,7.6,9.6,5.6,4.3,7.3,0.0,-1.0,0.0,2,9.94047619047619,7.3,0.0,0.0,92.0,0.0,13.8,0.0,29.5,212
AMLODIPINE BESILATE + METOPROLOL SUCCINATE,213.9,228.20000000000002,0.0,3.0,7.4,1.4,4.4,9.8,5.2,1.2658789593387698,0.03288608759108769,2.0189153040063834,37,7.857142857142858,5.2,0.0,0.0,89.5,0.5,34.7,2.6,29.4,213
INDAPAMIDE + TELMISARTAN,9.5,12.7,0.0,5.5,6.3,2.4,4.2,6.8,5.0,0.07044988073445388,0.1562188829383293,2.259985903178797,4,9.821428571428571,5.0,0.0,0.0,93.6,0.0,25.9,0.2,29.4,214
FENOFIBRATE + ROSUVASTATIN CALCIUM SALT,470.5,642.7,10.5,4.3,7.3,2.4,3.2,4.2,4.3,3.5652077439396463,0.16875729893099,2.284493929997726,96,4.345238095238095,4.3,0.016337326902131633,0.30898857401857655,93.8,1.6,56.8,8.1,29.2,215
ATORVASTATIN CALCIUM SALT + RAMIPRIL,5.1,4.8,0.0,8.1,3.7,4.6,4.7,4.2,5.1,0.026626726576801464,-0.029857499854668124,1.8962744915834664,1,10.0,5.1,0.0,0.0,91.1,0.0,24.5,0.1,29.1,216
AZELNIDIPINE + CHLORTALIDONE,0.0,0.0,0.0,7.0,3.6,3.0,7.1,5.0,5.1,0.0,0.0,1.954635005990765,1,10.0,5.1,0.0,0.0,50.0,0.0,24.5,0.0,29.1,217
AMLODIPINE BESILATE + PERINDOPRIL ERBUMINE,18.3,18.5,0.0,5.5,3.2,6.5,5.3,4.4,5.0,0.10262384201475565,0.005449631631855523,1.9652870467481443,2,9.94047619047619,5.0,0.0,0.0,93.2,0.0,25.3,0.2,29.1,218
FIMASARTAN,0.0,0.0,0.0,8.1,3.1,4.6,3.3,6.5,5.1,0.0,0.0,1.954635005990765,1,10.0,5.1,0.0,0.0,50.0,0.0,24.5,0.0,29.1,219
METOPROLOL TARTRATE + RAMIPRIL,17.6,18.6,0.0,9.3,0.7,3.8,4.6,8.3,5.3,0.10317856548510569,0.028016625263512784,2.009397282480552,10,9.464285714285714,5.3,0.0,0.0,88.4,0.0,26.2,0.2,29.1,220
LEVAMLODIPINE BESILATE + S-METOPROLOL SUCCINATE,14.8,18.3,0.0,4.7,5.2,1.3,3.1,9.8,4.8,0.10151439507405559,0.11197413930652478,2.1735035784449845,3,9.880952380952381,4.8,0.0,0.0,89.7,0.0,26.6,0.2,29.0,221
CHLORTALIDONE + S-METOPROLOL SUCCINATE,0.0,0.0,0.0,7.9,0.2,3.6,6.9,6.4,5.0,0.0,0.0,1.954635005990765,1,10.0,5.0,0.0,0.0,50.0,0.0,25.0,0.0,28.9,222
HYDRALAZINE HYDROCHLORIDE + ISOSORBIDE DINITRATE,46.199999999999996,69.5,0.0,3.9,3.7,2.8,3.3,7.8,4.3,0.38553281189327115,0.22651090673055352,2.397381153525014,6,9.702380952380953,4.3,0.0,0.0,91.0,0.2,30.0,0.9,28.9,223
LOSARTAN POTASSIUM SALT,219.0,227.4,0.7999999999999999,6.8,9.6,2.7,3.7,4.0,5.4,1.2614411715759695,0.018997627270820328,1.9917684332850751,48,7.2023809523809526,5.4,0.0035180299032541774,0.06653665251806815,91.1,0.5,37.0,2.5,28.9,224
ATORVASTATIN CALCIUM SALT + COLECALCIFEROL,19.3,16.7,0.0,5.7,2.7,9.1,4.6,5.0,5.4,0.09263881954845508,-0.06979304770751993,1.818215071766863,10,9.464285714285714,5.4,0.0,0.0,94.7,0.0,25.7,0.2,28.9,225
ATENOLOL + BENIDIPINE HYDROCHLORIDE,0.0,0.0,0.0,3.0,3.3,4.0,6.0,8.7,5.0,0.0,0.0,1.954635005990765,1,10.0,5.0,0.0,0.0,50.0,0.0,25.0,0.0,28.9,226
DOCONEXENT + ICOSAPENT + PHYTOSTEROLS (UNSPECIFIED),0.0,0.0,0.0,3.3,4.6,6.8,5.9,4.2,5.0,0.0,0.0,1.954635005990765,1,10.0,5.0,0.0,0.0,50.0,0.0,25.0,0.0,28.9,227
ALLIUM SATIVUM POWDER + CURCUMA LONGA POWDER + NEPETA HINDOSTANA EXTRACT,0.2,0.2,0.0,4.9,4.9,3.3,7.1,4.9,5.0,0.001109446940700061,0.0,1.954635005990765,1,10.0,5.0,0.0,0.0,94.8,0.0,25.0,0.0,28.9,228
ALLIUM SATIVUM OIL,0.1,0.0,0.0,7.9,8.1,2.5,7.9,8.2,6.9,0.0,-1.0,0.0,1,10.0,6.9,0.0,0.0,90.1,0.0,15.5,0.0,28.8,229
EFONIDIPINE HYDROCHLORIDE,14.5,14.6,0.0,2.1,0.1,3.7,9.0,9.4,4.9,0.08098962667110444,0.0034423509719618828,1.9613635457034682,2,9.94047619047619,4.9,0.0,0.0,86.3,0.0,25.8,0.2,28.8,230
VALSARTAN,39.1,37.0,0.0,2.3,1.4,9.4,4.3,7.1,4.9,0.2052476840295113,-0.02722481523103104,1.9014204291085612,5,9.761904761904763,4.9,0.0,0.0,92.1,0.1,26.7,0.4,28.8,231
FUROSEMIDE + POTASSIUM CHLORIDE,0.7,0.5,0.0,8.6,4.0,1.1,6.9,5.2,5.2,0.002773617351750153,-0.15484574527148343,1.6519680917543944,1,10.0,5.2,0.0,0.0,93.7,0.0,24.0,0.0,28.7,232
HYDROCHLOROTHIAZIDE + METOPROLOL TARTRATE,0.2,0.2,0.0,6.1,3.8,2.4,7.3,5.1,4.9,0.001109446940700061,0.0,1.954635005990765,1,10.0,4.9,0.0,0.0,90.8,0.0,25.5,0.0,28.7,233
HYDROCHLOROTHIAZIDE + LISINOPRIL,1.3,1.1,0.0,2.9,2.9,9.5,5.4,5.0,5.1,0.006101958173850336,-0.08013378899220014,1.798002696863933,2,9.94047619047619,5.1,0.0,0.0,87.2,0.0,24.8,0.0,28.7,234
NITRENDIPINE,0.0,0.0,0.0,2.1,4.6,2.3,9.1,6.6,4.9,0.0,0.0,1.954635005990765,1,10.0,4.9,0.0,0.0,50.0,0.0,25.5,0.0,28.7,235
AZELNIDIPINE + METOPROLOL TARTRATE,0.0,0.7,0.0,7.7,0.1,5.5,4.5,6.7,4.9,0.003883064292450213,0.0,1.954635005990765,1,10.0,4.9,0.0,0.0,50.0,0.0,25.5,0.0,28.7,236
BENIDIPINE HYDROCHLORIDE + CHLORTALIDONE + TELMISARTAN,3.5,3.5,0.0,3.8,2.9,1.5,7.8,9.2,5.0,0.01941532146225107,0.0,1.954635005990765,4,9.821428571428571,5.0,0.0,0.0,86.9,0.0,25.9,0.0,28.7,237
HYDROCHLOROTHIAZIDE + METOPROLOL SUCCINATE,12.4,12.3,0.0,4.2,0.8,7.6,8.6,4.5,5.1,0.06823098685305376,-0.0040404205636818125,1.9467374585180675,8,9.583333333333334,5.1,0.0,0.0,93.1,0.0,26.6,0.1,28.6,238
ATORVASTATIN CALCIUM SALT + METOPROLOL TARTRATE + RAMIPRIL,0.0,0.0,0.0,4.7,3.7,2.1,7.9,5.5,4.8,0.0,0.0,1.954635005990765,1,10.0,4.8,0.0,0.0,50.0,0.0,26.0,0.0,28.5,239
LEVAMLODIPINE BESILATE + LISINOPRIL,0.0,0.0,0.0,9.1,2.2,4.0,3.5,5.3,4.8,0.0,0.0,1.954635005990765,1,10.0,4.8,0.0,0.0,50.0,0.0,26.0,0.0,28.5,240
ATENOLOL + HYDROCHLOROTHIAZIDE,1.9000000000000001,1.6,0.0,2.5,2.0,7.7,3.8,9.7,5.1,0.008875575525600489,-0.08233706451775291,1.7936960973938452,4,9.821428571428571,5.1,0.0,0.0,87.5,0.0,25.4,0.0,28.5,241
CHOLINE FENOFIBRATE + ROSUVASTATIN CALCIUM SALT,4.0,4.3,0.0,4.2,6.3,2.0,4.0,6.9,4.7,0.02385310922505131,0.03682206766638596,2.0266087084444435,1,10.0,4.7,0.0,0.0,85.2,0.0,26.5,0.0,28.5,242
CHLORTALIDONE + OLMESARTAN MEDOXOMIL,92.4,89.3,0.0,9.9,0.4,2.7,9.2,4.4,5.3,0.49536805902257725,-0.016918001156456808,1.9215664886989623,26,8.511904761904763,5.3,0.0,0.0,94.6,0.2,30.9,1.0,28.4,243
AZILSARTAN MEDOXOMIL POTASSIUM SALT + CHLORTALIDONE,0.0,0.0,0.0,3.8,0.6,5.5,5.2,8.9,4.8,0.0,0.0,1.954635005990765,2,9.94047619047619,4.8,0.0,0.0,50.0,0.0,26.3,0.0,28.4,244
HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT,211.7,200.29999999999998,0.8,2.4,8.4,1.4,8.6,5.7,5.3,1.1111111111111112,-0.027297469641951455,1.9012784162536365,45,7.380952380952381,5.3,0.00399400898652022,0.07553886561462156,89.3,0.5,36.6,2.1,28.4,245
AMLODIPINE BESILATE + CHLORTALIDONE,0.0,0.0,0.0,9.0,0.3,2.6,5.9,5.6,4.7,0.0,0.0,1.954635005990765,1,10.0,4.7,0.0,0.0,50.0,0.0,26.5,0.0,28.3,246
ATORVASTATIN CALCIUM SALT + FOLIC ACID + MECOBALAMIN + PYRIDOXINE HYDROCHLORIDE,0.0,0.0,0.0,4.5,0.7,4.9,7.0,6.5,4.7,0.0,0.0,1.954635005990765,1,10.0,4.7,0.0,0.0,50.0,0.0,26.5,0.0,28.3,247
BENAZEPRIL HYDROCHLORIDE,0.0,0.0,0.0,5.9,0.7,6.1,4.4,6.5,4.7,0.0,0.0,1.954635005990765,1,10.0,4.7,0.0,0.0,50.0,0.0,26.5,0.0,28.3,248
ATENOLOL + NITRENDIPINE,0.0,0.0,0.0,5.4,4.1,2.0,7.2,4.8,4.7,0.0,0.0,1.954635005990765,1,10.0,4.7,0.0,0.0,50.0,0.0,26.5,0.0,28.3,249
ATENOLOL + NIFEDIPINE,11.4,11.8,0.1,3.0,3.2,4.2,3.1,9.4,4.6,0.06545736950130361,0.017392608238454788,1.988631206899132,5,9.761904761904763,4.6,0.00847457627118644,0.16028002947678704,95.0,0.1,28.2,0.1,28.3,250
CHLORTALIDONE + TELMISARTAN,522.7,639.5,4.5,9.7,1.6,1.8,3.7,5.6,4.5,3.547456592888445,0.10609906282834602,2.1620199482978637,105,3.8095238095238093,4.5,0.007036747458952306,0.1330863106367067,89.9,1.5,58.5,7.7,28.2,251
ISOSORBIDE MONONITRATE,76.60000000000001,70.6,0.0,5.1,0.4,5.6,4.3,8.9,4.9,0.39163477006712144,-0.03996301202674368,1.8765219037384617,16,9.107142857142858,4.9,0.0,0.0,91.3,0.2,30.0,0.7,28.2,252
ALLIUM SATIVUM EXTRACT + TERMINALIA ARJUNA EXTRACT,0.0,0.1,0.0,8.5,2.1,1.8,6.5,4.2,4.6,0.0005547234703500305,0.0,1.954635005990765,1,10.0,4.6,0.0,0.0,50.0,0.0,27.0,0.0,28.1,253
CILNIDIPINE + NEBIVOLOL HYDROCHLORIDE,45.9,56.6,0.0,2.4,4.3,1.3,5.9,8.5,4.5,0.3139734842181173,0.11045732399295116,2.170538758135451,13,9.285714285714286,4.5,0.0,0.0,90.5,0.1,31.1,0.7,28.1,254
BISOPROLOL + TELMISARTAN,0.0,0.1,0.0,5.1,4.4,2.9,6.5,4.2,4.6,0.0005547234703500305,0.0,1.954635005990765,1,10.0,4.6,0.0,0.0,50.0,0.0,27.0,0.0,28.1,255
ATORVASTATIN CALCIUM SALT + EZETIMIBE,45.7,91.3,0.0,4.6,1.0,2.1,4.9,7.8,4.1,0.5064625284295778,0.41343971084463305,2.7627587376743845,22,8.75,4.1,0.0,0.0,87.5,0.2,35.8,1.4,28.1,256
FELODIPINE,0.0,0.0,0.0,3.9,0.8,8.6,4.5,5.2,4.6,0.0,0.0,1.954635005990765,1,10.0,4.6,0.0,0.0,50.0,0.0,27.0,0.0,28.1,257
NEBIVOLOL HYDROCHLORIDE + VALSARTAN,3.3,3.2,0.0,3.3,2.8,2.1,5.8,9.2,4.6,0.017751151051200977,-0.015268072165338098,1.9247914976624019,1,10.0,4.6,0.0,0.0,89.5,0.0,27.0,0.0,28.1,258
METOPROLOL TARTRATE + OLMESARTAN MEDOXOMIL,34.8,36.0,0.0,6.4,3.2,2.7,3.2,7.5,4.6,0.19970044932601097,0.017095255431215595,1.9880499906929727,9,9.523809523809524,4.6,0.0,0.0,94.7,0.1,29.4,0.4,28.0,259
ATORVASTATIN CALCIUM SALT + TELMISARTAN,9.1,10.899999999999999,0.0,2.6,1.6,3.4,8.6,5.6,4.4,0.060464858268153315,0.0944415004020076,2.13923366869482,4,9.821428571428571,4.4,0.0,0.0,93.2,0.0,28.9,0.1,28.0,260
CILNIDIPINE + METOPROLOL SUCCINATE,64.8,84.6,0.0,4.6,4.0,3.3,6.9,4.8,4.7,0.4692960559161258,0.1426091000668408,2.233383745154252,24,8.630952380952381,4.7,0.0,0.0,94.7,0.2,33.3,1.0,28.0,261
AMLODIPINE BESILATE + OLMESARTAN MEDOXOMIL,91.1,95.8,0.6,6.9,1.0,6.6,5.7,4.3,4.9,0.5314250845953292,0.025471431839624525,2.0044223583172025,31,8.214285714285714,4.9,0.006263048016701462,0.11845329944631028,87.4,0.3,34.4,1.1,27.7,262
CHLORTALIDONE + METOPROLOL SUCCINATE,21.2,25.3,0.0,3.6,1.5,4.8,4.6,5.5,4.0,0.14034503799855771,0.09242676020641971,2.135295586980547,2,9.94047619047619,4.0,0.0,0.0,92.0,0.1,30.3,0.3,27.5,263
PHENOXYBENZAMINE HYDROCHLORIDE,0.4,0.30000000000000004,0.0,6.1,1.2,2.4,7.2,6.2,4.6,0.001664170411050092,-0.1339745962155613,1.6927635703143509,2,9.94047619047619,4.6,0.0,0.0,91.8,0.0,27.3,0.0,27.5,264
ACETYLSALICYLIC ACID + ATENOLOL + HYDROCHLOROTHIAZIDE + RAMIPRIL + SIMVASTATIN,4.6,4.1,0.0,7.3,0.8,3.3,3.8,6.6,4.4,0.02274366228435125,-0.05591083693006682,1.845349726913015,1,10.0,4.4,0.0,0.0,86.6,0.0,28.0,0.0,27.5,265
HYDROCHLOROTHIAZIDE + NEBIVOLOL HYDROCHLORIDE,26.5,28.4,0.0,2.0,5.9,2.9,6.8,5.0,4.5,0.15754146557940862,0.0352285318747485,2.02349392760281,13,9.285714285714286,4.5,0.0,0.0,90.7,0.1,31.1,0.3,27.4,266
CHLORTALIDONE + LOSARTAN POTASSIUM SALT,5.1,4.7,0.0,2.1,5.7,2.4,3.5,7.6,4.3,0.026072003106451434,-0.04001634000834131,1.8764176669988322,4,9.821428571428571,4.3,0.0,0.0,94.1,0.0,29.4,0.0,27.2,267
BENIDIPINE HYDROCHLORIDE + METOPROLOL SUCCINATE,5.0,3.5999999999999996,0.0,4.7,6.7,2.2,4.7,4.2,4.5,0.019970044932601096,-0.15147186257614298,1.6585628009768132,4,9.821428571428571,4.5,0.0,0.0,88.4,0.0,28.4,0.0,27.1,268
ALLIUM SATIVUM + CAMELLIA SINENSIS + COMMIPHORA WIGHTII EXTRACT + TERMINALIA ARJUNA + ZINGIBER OFFICINALE,0.0,0.0,0.0,3.4,1.3,5.8,4.1,6.0,4.1,0.0,0.0,1.954635005990765,1,10.0,4.1,0.0,0.0,50.0,0.0,29.5,0.0,27.1,269
BISOPROLOL FUMARATE + HYDROCHLOROTHIAZIDE,27.6,34.5,0.0,4.5,0.1,5.6,3.4,5.9,3.9,0.1913795972707605,0.1180339887498949,2.1853483722980296,9,9.523809523809524,3.9,0.0,0.0,89.1,0.1,32.9,0.4,26.9,270
AMILORIDE HYDROCHLORIDE + FUROSEMIDE,4.4,4.5,0.0,2.5,1.7,2.6,4.7,7.8,3.9,0.02496255616575137,0.011299793694863114,1.9767219783072183,2,9.94047619047619,3.9,0.0,0.0,91.1,0.0,30.8,0.0,26.7,271
ACETYLSALICYLIC ACID LYSIN SALT + CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT,0.3,0.3,0.0,3.6,0.3,3.9,4.9,6.7,3.9,0.0016641704110500915,0.0,1.954635005990765,1,10.0,3.9,0.0,0.0,87.4,0.0,30.5,0.0,26.7,272
ALLIUM SATIVUM + CINNAMOMUM ZEYLANICUM + COMMIPHORA WIGHTII + PHYLLANTHUS EMBLICA + TERMINALIA ARJUNA,0.0,0.0,0.0,2.7,0.8,4.2,3.2,8.3,3.8,0.0,0.0,1.954635005990765,1,10.0,3.8,0.0,0.0,50.0,0.0,31.0,0.0,26.5,273
CARVEDILOL + IVABRADINE HYDROCHLORIDE,1.4,0.30000000000000004,0.0,5.2,8.5,1.0,5.8,4.4,5.0,0.001664170411050092,-0.5370899501137243,0.9048201881326458,5,9.761904761904763,5.0,0.0,0.0,88.4,0.0,26.2,0.0,26.5,274
AMLODIPINE + OLMESARTAN MEDOXOMIL,38.0,38.4,0.0,3.9,0.7,2.6,7.8,4.8,4.0,0.2130138126144117,0.00524937990006924,1.9648956277031846,13,9.285714285714286,4.0,0.0,0.0,85.6,0.1,33.6,0.4,26.4,275
INDAPAMIDE + PERINDOPRIL ERBUMINE,14.7,14.399999999999999,0.0,3.8,0.9,2.0,7.2,4.1,3.6,0.07988017973040439,-0.010256681389212985,1.9345869375021152,2,9.94047619047619,3.6,0.0,0.0,93.0,0.0,32.3,0.2,26.2,276
AMILORIDE HYDROCHLORIDE + HYDROCHLOROTHIAZIDE,0.1,0.0,0.0,8.3,2.8,1.9,7.2,7.9,5.6,0.0,-1.0,0.0,2,9.94047619047619,5.6,0.0,0.0,89.5,0.0,22.3,0.0,26.1,277
DOXAZOSIN MESILATE,0.0,0.0,0.0,2.4,1.0,2.1,8.1,4.2,3.6,0.0,0.0,1.954635005990765,1,10.0,3.6,0.0,0.0,50.0,0.0,32.0,0.0,26.1,278
ATORVASTATIN CALCIUM SALT + RAMIPRIL + S-METOPROLOL TARTRATE,0.1,0.0,0.0,9.3,5.5,3.2,3.2,5.4,5.3,0.0,-1.0,0.0,1,10.0,5.3,0.0,0.0,89.2,0.0,23.5,0.0,25.6,279
AMLODIPINE + PERINDOPRIL ERBUMINE,0.1,0.0,0.0,3.5,0.5,7.7,5.9,8.2,5.2,0.0,-1.0,0.0,1,10.0,5.2,0.0,0.0,85.4,0.0,24.0,0.0,25.4,280
AMLODIPINE BESILATE + LOSARTAN POTASSIUM SALT,62.49999999999999,59.300000000000004,0.0,6.2,0.3,2.6,3.1,7.0,3.8,0.3289510179175681,-0.025936347049126285,1.9039389141210175,21,8.80952380952381,3.8,0.0,0.0,91.4,0.1,37.0,0.6,25.4,281
ACETYLSALICYLIC ACID + ROSUVASTATIN CALCIUM SALT,233.7,307.1,2.6999999999999997,6.3,0.1,3.5,4.3,4.4,3.7,1.703555777444944,0.1463323591441017,2.240661357683039,72,5.773809523809524,3.7,0.008791924454575056,0.16628204946696307,90.1,0.8,52.6,3.8,25.1,282
CARVEDILOL + IVABRADINE HYDROBROMIDE,0.4,0.0,0.0,10.0,1.1,5.1,3.6,5.0,5.0,0.0,-1.0,0.0,1,10.0,5.0,0.0,0.0,93.5,0.0,25.0,0.0,25.0,283
HYDROCHLOROTHIAZIDE + IRBESARTAN,0.1,0.0,0.0,3.4,1.2,9.1,3.3,7.9,5.0,0.0,-1.0,0.0,1,10.0,5.0,0.0,0.0,89.8,0.0,25.0,0.0,25.0,284
AZILSARTAN MEDOXOMIL,35.1,27.0,0.0,4.3,1.2,4.1,6.1,6.0,4.3,0.14977533699450823,-0.1229419806929708,1.7143283068224435,32,8.154761904761905,4.3,0.0,0.0,91.8,0.1,37.7,0.3,24.6,285
